author-name,work-title,earliest-publication-date,country,source,bibacme-work-id,cligs-idno,fictionality,narrativity,prose,>=84p,">=16,000w",own-structure,readership,realistic,note
"Iglesia, Álvaro de la","La bruja de Atarés; o, Los bandidos de La Habana",1901,Cuba,DLC,W929,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Iglesia, Álvaro de la","Una boda sangrienta; o, El fantasma de San Lázaro",1900,Cuba,DLC,W927,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Iglesia, Álvaro de la","Amalia Batista; o, El último danzón",1900,Cuba,DLC,W926,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Iglesia, Álvaro de la",La alondra,1897,Cuba,DLC,W925,nh0221,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Salado Álvarez, Victoriano",Los mártires de Tacubaya,1903,México,Torres-Rioseco,W924,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Iglesia, Álvaro de la",Adoración,1894,Cuba,DLC,W923,nh0018,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Jústiz y del Valle, Tomás de",Carcajadas y sollozos,1906,Cuba,DLC,W922,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Valle, Guillermo del",Los Imperiales,1887,México,Torres-Rioseco,W92,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"López, Jesús José",La leyenda de amor,1910,Cuba,DLC,W919,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rosas de Rivera, Mercedes",María de Montiel,1861,Argentina,Lichtblau,W918,nh0098,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Romano, Manuel",El isleño,1857,Argentina,Lichtblau,W917,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rosas de Rivera, Mercedes",Emma o La hija de un proscripto,1863,Argentina,Molina,W1294,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rodriguez Alcala, José",Ignacia,1906,Argentina,Lichtblau,W916,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rocha, José Victor",Un drama de la vida,1857,Argentina,Lichtblau,W915,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rivero, Amaranto T.",Guantes blancos y conciencias negras,1899,Argentina,Lichtblau,W913,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rivarola, Enrique E.",Meñique,1906,Argentina,Lichtblau,W912,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rivarola, Enrique E.",Mandinga,1895,Argentina,Lichtblau,W911,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rivarola, Enrique E.",El arma de Werther Amar al vuelo,1885,Argentina,Lichtblau,W910,nh0008,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Valle, Guillermo del",El Millón de Libras Esterlinas,1884,México,Torres-Rioseco,W91,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rave, María",Babilonia,1904,Argentina,Lichtblau,W908,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Quiroga, Horacio",Historia de un amor turbio,1908,Argentina,Lichtblau,W907,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Podestá, Manuel T.",Irresponsable,1889,Argentina,Lichtblau,W904,nh0059,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Podestá, Manuel T.",Alma de niña,1892,Argentina,Lichtblau,W903,nh0082,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Podestá, Gerónimo",La caída de Lucía,1899,Argentina,Lichtblau,W902,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Pérez y Pérez, Manuel",La Revolución Malezalera,1902,Argentina,Lichtblau,W901,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Pérez y Pérez, Manuel",El gobierno Rodriguista,1905,Argentina,Lichtblau,W900,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Álvarez, José Sixto",En el mar austral,1897,Argentina,Lichtblau,W9,nh0042,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Pelliza de Sagasta, Josefina",Margarita,1875,Argentina,Lichtblau,W898,nh0195,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Pelliza de Sagasta, Josefina",El César,1882,Argentina,Lichtblau,W896,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Pearson, Isaac R.",El triunfo del siglo,1899,Argentina,Lichtblau,W895,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Pearson, Isaac R.",¡Patria!,1896,Argentina,Lichtblau,W894,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Pearson, Isaac R.",Las dos venganzas,1904,Argentina,Lichtblau,W893,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Payró, Roberto",El falso inca,1905,Argentina,Lichtblau,W890,nh0004,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Payró, Roberto",Las divertidas aventuras del nieto de Juan Moreira,1910,Argentina,Lichtblau,W889,nh0002,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Payró, Roberto",Antígona,1885,Argentina,Lichtblau,W887,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Paterson, Roberto G.",Por tu honra,1895,Argentina,Lichtblau,W884,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Paterson, Roberto G.",Dueña y señora,1905,Argentina,Lichtblau,W883,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Fuentes, Julio",Estella,1898,México,Torres-Rioseco,W882,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Frías, Heriberto",El amor de las sirenas,1908,México,Torres-Rioseco,W879,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Frías, Heriberto",El último duelo,1896,México,Torres-Rioseco,W878,nh0067,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Frías, Heriberto",¡Tomochic!,1894,México,Torres-Rioseco,W877,nh0022,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Flores Villar, Mariano",Electra,1899,México,Torres-Rioseco,W876,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Flores Villar, Mariano",La conquista de un dogal,1894,México,Torres-Rioseco,W875,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Flores Villar, Mariano",La línea curva,1893,México,Torres-Rioseco,W874,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Ferrel y Félix, José",Reproducciones,1895,México,Torres-Rioseco,W873,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Ferrel y Félix, José",La caída de un ángel,1890,México,Torres-Rioseco,W872,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Ferrel y Félix, José",Los de la mutua de elogios,1892,México,Torres-Rioseco,-,-,fictional,narrative,prose,yes,n.a.,collection,adult,realistic,
"Fernández Serrano, Tomás",El robo al banco minero,1910,México,Torres-Rioseco,W870,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Fernández de Lizardi, José Joaquín",Don Catrín de la Fachenda,1832,México,Torres-Rioseco,W869,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rencurrell, Georgina",Flor de loto,1902,Cuba,CejadorFrauca,W867,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Rencurrell, Georgina",Adelfa,1899,Cuba,Trelles,W866,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gutiérrez Nájera, Manuel",Por donde se sube al cielo,1882,México,elem.mx,W865,nh0099,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Guadalajara, José Rafael",Amalia Sara,1891,México,Torres-Rioseco,W862,nh0151,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Goyc, Juan",Vicio heroico y virtud criminal,1860,México,Torres-Rioseco,W861,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"González Peña, Carlos",La musa bohemia,1908,México,Torres-Rioseco,W860,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"González Peña, Carlos",La chiquilla,1906,México,Torres-Rioseco,W859,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"González Peña, Carlos",De noche,1907,México,Torres-Rioseco,W858,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez Vergara, Joaquín",Las cruces del santuario,1893,México,Torres-Rioseco,W853,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez Luna, Ignacio",Rosa y Teresa,1890,México,Torres-Rioseco,W850,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez Luna, Ignacio",Amor ideal,1882,México,Torres-Rioseco,W849,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"García González, Francisco",Belén por dentro,1894,México,Torres-Rioseco,W848,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Garay, Aurelio",La hidra,1887,México,Torres-Rioseco,W845,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gamboa, Federico",¡Vendía cerillos!,1889,México,Torres-Rioseco,W844,nh0019,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Uno de tantos,1889,México,Torres-Rioseco,W843,nh0074,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Bunge, Carlos Octavio",Xarcas silenciario,1903,Argentina,Lichtblau,W84,nh0222,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",La llaga,1910,México,Torres-Rioseco,W839,nh0191,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Santa,1903,México,Torres-Rioseco,W838,nh0080,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Metamorfosis,1899,México,Torres-Rioseco,W837,nh0194,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Reconquista,1908,México,Torres-Rioseco,W836,nh0193,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Suprema ley,1896,México,Torres-Rioseco,W835,nh0192,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gamboa, Federico",Apariencias,1892,México,Torres-Rioseco,W834,nh0190,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gallardo, Aurelio Luis",Adah o el amor de un ángel,1900,México,Torres-Rioseco,W833,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hidalgo y Esnaurrízar, José Manuel",La confesión de una mundana,1896,México,Torres-Rioseco,W831,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hidalgo y Esnaurrízar, José Manuel",Lelia y Marina,1894,México,Torres-Rioseco,W830,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Bunge, Carlos Octavio",La novela de la sangre,1903,Argentina,Lichtblau,W83,nh0081,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Hidalgo y Esnaurrízar, José Manuel",Víctimas del chic,1892,México,Torres-Rioseco,W829,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hidalgo y Esnaurrízar, José Manuel",La sed de oro,1891,México,Torres-Rioseco,W828,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hidalgo y Esnaurrízar, José Manuel",Las dos condesas,1891,México,Torres-Rioseco,W827,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hernández, J. R.",Azcaxochitl o la flecha de oro,1878,México,Torres-Rioseco,W825,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hernández, Fortunato",Transfiguración,1903,México,Torres-Rioseco,W824,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hernández, Fortunato",En plena lucha,1903,México,Torres-Rioseco,W823,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Hernández, Fortunato",Desequilibrio,1903,México,Torres-Rioseco,W822,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Inclán, Luis Gonzaga",Astucia,1908,México,Torres-Rioseco,W820,nh0108,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Bunge, Carlos Octavio",Mi amigo Luis,1895,Argentina,Lichtblau,W82,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"Llanas, Pedro L.",Caridad y recompensa,1874,México,Torres-Rioseco,W818,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Lozada, Enrique",Celeste,1873,México,Torres-Rioseco,W817,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"López de la Serna, Rafael",Curiosa venganza,1901,México,Torres-Rioseco,W815,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Browne, Miguel",La primera conquista de Esther,1888,Argentina,Lichtblau,W81,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"López Portillo y Rojas, José",Egoísmo trágico,1903,México,Torres-Rioseco,W808,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Bosch, Gonzalo",Nieve,1908,Argentina,Lichtblau,W80,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"Alcorta, Amancio",Espinas de amor,1860,Argentina,Lichtblau,W8,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"López Portillo y Rojas, José",El primer amor,1900,México,Torres-Rioseco,W792,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"López Portillo y Rojas, José",Nieves,1900,México,Torres-Rioseco,W791,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"López Portillo y Rojas, José",Los precursores,1909,México,Torres-Rioseco,W790,nh0202,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Blomberg, Carlos",El doctor Jacobo,1891,Argentina,Lichtblau,W79,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"López Portillo y Rojas, José",La parcela,1898,México,Torres-Rioseco,W789,nh0036,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Lombardo, Alberto",Morelos,1893,México,Torres-Rioseco,W788,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Lombardo, Alberto",Hidaldo,1893,México,Torres-Rioseco,W787,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Larráinzar, Enriqueta Larráinzar, Ernestina",¡Sonrisas y lágrimas!,1883,México,Torres-Rioseco,W783,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Larráinzar, Enriqueta Larráinzar, Ernestina",Misterios del corazón,1881,México,Torres-Rioseco,W782,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Larráinzar, Enriqueta Larráinzar, Ernestina",Horas serias en la vida,1879,México,Torres-Rioseco,W781,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Blanlot, Anselmo",¡Revolución!,1894,Argentina,Lichtblau,W78,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Muñoz, Mariano M. y",El misterioso,1836,México,Torres-Rioseco,W779,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Munguía, Felipe S.",Estela,1882,México,Torres-Rioseco,W778,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Moreno Cantón, Delio",El sargento primero,1905,México,Torres-Rioseco,W777,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Moreno Cantón, Delio",El último esfuerzo,1896,México,Torres-Rioseco,W776,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Moreno, Antonio de P.",Un corazón en un libro,1909,México,Torres-Rioseco,W774,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Moreno, Antonio de P.",Cartas a María,1885,México,Torres-Rioseco,W773,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Morales, Vicente",El escéptico,1880,México,Torres-Rioseco,W772,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Morales, Vicente",Gerardo,1874,México,Torres-Rioseco,W771,nh0236,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Blanco, C. M.",Salvaje,1891,Argentina,Lichtblau,W77,nh0213,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Morales, Vicente",Gentes de historia,1873,México,Torres-Rioseco,W769,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Morales, Vicente",Silveria de Epinay,1872,México,Torres-Rioseco,W767,nh0241,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Moral, Salvador L.",El mártir de la orfandad,1908,México,Torres-Rioseco,W766,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Merino, Manuel",Ruta Celestina,1902,México,Torres-Rioseco,W765,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Merino, Manuel",Juana Santa Anna,1901,México,Torres-Rioseco,W764,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Merino, Manuel",La gruta del madrigal,1886,México,Torres-Rioseco,W763,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Méndez Rivas, Federico",Ana,1888,México,Torres-Rioseco,W761,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Méndez de Cuenca, Laura",El espejo de Amarilis,1902,México,Torres-Rioseco,W758,nh0217,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Mejía, Demetrio",Entre el amor y la patria,1889,México,Torres-Rioseco,W757,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Sepulcros blanqueados,1902,México,Torres-Rioseco,W755,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Sangre de niños,1901,México,Torres-Rioseco,W754,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Las olas muertas,1899,México,Torres-Rioseco,W753,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",El vendedor de periódicos,1899,México,Torres-Rioseco,W752,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",La baja marea,1899,México,Torres-Rioseco,W751,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Las olas altas,1899,México,Torres-Rioseco,W750,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Blanco, Angel Julio",Emeterio de Leao,1857,Argentina,Lichtblau,W75,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Memorias de un guerrillero,1897,México,Torres-Rioseco,W749,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Los dramas de México,1887,México,Torres-Rioseco,W748,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Sor Angélica,1875,México,Torres-Rioseco,W747,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Mateos, Juan Antonio",Los insurgentes,1869,México,Torres-Rioseco,W746,nh0111,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Mateos, Juan Antonio",Sacerdote y caudillo,1869,México,Torres-Rioseco,W745,nh0227,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Mateos, Juan Antonio",El sol de mayo,1868,México,Torres-Rioseco,W744,nh0159,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Mateos, Juan Antonio",El cerro de las campanas,1868,México,Torres-Rioseco,W743,nh0069,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Marroquí, José María",La Llorona,1887,México,Torres-Rioseco,W742,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Martínez Riestra, Ceferino",Los dos huérfanos,1907,México,Torres-Rioseco,W741,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Martínez Gracida, Manuel López Ruiz, Mariano",Ita Andehui,1906,México,Torres-Rioseco,W740,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Blanco, Angel Julio",Una venganza funesta,1856,Argentina,Lichtblau,W74,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
