author-name,work-title,earliest-publication-date,country,source,bibacme-work-id,cligs-idno,fictionality,narrativity,prose,>=84p,">=16,000w",own-structure,readership,realistic,note
"Carrión, Miguel de",El milagro,1903,Cuba,DLC,W999,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Cárdenas y Rodríguez, Nicolás de",Escenas de la vida en Cuba,1841,Cuba,DLC,W996,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Cárdenas y Rodríguez, Nicolás de",Las dos bodas,1844,Cuba,DLC,W995,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Calcagno, Francisco",Los crímenes de Concha,1887,Cuba,DLC,W992,nh0112,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Calcagno, Francisco",S. Y.,1895,Cuba,DLC,W991,nh0020,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Calcagno, Francisco",El emisario,1896,Cuba,DLC,W990,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Veras, Filidoro",Mari Stairs,1870,México,Torres-Rioseco,W99,-,fictional,narrative,prose,unknown,n.a.,own structure,adult,realistic,
"Calcagno, Francisco",Don Enriquito Un casamiento misterioso,1895,Cuba,DLC,W989,nh0091,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Calcagno, Francisco",En busca del eslabón,1888,Cuba,DLC,W987,nh0215,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Calcagno, Francisco",Uno de tantos Romualdo,1881,Cuba,DLC,W986,nh0016,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Calcagno, Francisco",Aponte,1901,Cuba,DLC,W985,nh0170,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Cabrera y Bosch, Raimundo",Episodios de la guerra. Mi vida en la manigua.,1898,Cuba,DLC,W984,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guiteras y Font, Eusebio",Irene Albar,1886,Cuba,DLC,W981,nh0228,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Vélez, Ismael",Pancho Pérez,1910,México,Torres-Rioseco,W98,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",Las huellas del crimen,1879,Cuba,DLC,W979,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",Los mártires del amor,1876,Cuba,DLC,W978,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",El escabel de la fortuna,1876,Cuba,DLC,W977,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",La nube negra,1874,Cuba,DLC,W976,nh0245,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",Madrid por dentro,1865,Cuba,DLC,W975,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Vázquez, Andrés Clemente",Enriqueta Fáber,1894,México,Torres-Rioseco,W97,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",Anatomía del corazón,1856,Cuba,DLC,W967,nh0207,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",Una historia del gran mundo,1851,Cuba,DLC,W966,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Guerrero y Pallarés, Teodoro",La copa de rom,1843,Cuba,DLC,W965,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Valles, Rodolfo",Alberto o Historia de Dos Amantes,1888,México,Torres-Rioseco,W96,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José","Quibiam, Rey de Veragoa",1856,Cuba,DLC,W957,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José","Anacaona, Reina de Xaragua",1856,Cuba,DLC,W956,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José",El Hermano Lorenzo,1860,Cuba,DLC,W955,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José",Ottilia,1860,Cuba,DLC,W954,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José",Nieta del Rey,1858,Cuba,DLC,W953,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José",La Virgen de las Azucenas,1858,Cuba,DLC,W952,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Güell y Renté, José","Guacanajari, rey de Marien",1855,Cuba,DLC,W951,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"González del Valle, José Zacarías",Recuerdos del cólera,1838,Cuba,DLC,W950,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Valle de Santiesteban, J.",Los amantes de Udalla,1886,México,Torres-Rioseco,W95,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"González del Valle, José Zacarías",Luisa,1839,Cuba,DLC,W949,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",La velada del helecho o El donativo del diablo,1857,Cuba,DLC,W945,nh0116,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",El artista barquero; o Los cuatro cinco de junio,1861,Cuba,DLC,W944,nh0124,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",La mano de Dios,1853,Cuba,DLC,W942,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",Dolores,1851,Cuba,DLC,W941,nh0168,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis","Guatimozín, último emperador de Méjico",1846,Cuba,DLC,W940,nh0115,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Valle, Ramón",Amar odiando,1887,México,Torres-Rioseco,W94,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",Espatolino,1844,Cuba,DLC,W939,nh0117,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",Dos mujeres,1843,Cuba,DLC,W937,nh0140,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Gómez de Avellaneda, Gertrudis",Sab,1841,Cuba,DLC,W936,nh0113,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Heredia, Nicolás",Leonela,1893,Cuba,DLC,W933,nh0076,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Heredia, Nicolás",Un hombre de negocios,1882,Cuba,DLC,W932,nh0242,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Iglesia, Álvaro de la",La factoría y la trata,1906,Cuba,DLC,W931,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
"Iglesia, Álvaro de la",Pepe Antonio,1903,Cuba,DLC,W930,nh0231,fictional,narrative,prose,n.a.,yes,own structure,adult,realistic,
"Valle, Ramón",Virgen del Valle,1875,México,Torres-Rioseco,W93,-,fictional,narrative,prose,yes,n.a.,own structure,adult,realistic,
