author-name,work-title,earliest-publication-date,country,source,bibacme-work-id,cligs-idno,fictionality,narrativity,prose,>82p,">15,500w",own-structure,readership,realistic,note
"Torrado y Quiroga, Ramón","Estephoro el Pirata","1839","","Trelles","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Pardo Pimentel, Nicolás","Matilde o una víctima","1839","","Trelles","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Anónimo","El pensamiento","1878","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Varela, Luis Vicente","El doctor Whüntz","1880","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ugarte, Manuel","La sombra de la madre","1910","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ugarte, Manuel","La leyenda del gaucho","1910","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Mendía, José M.","Candidato para la horca","1899","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sylva, Victorio","Guacho","1895","","WikimediaCommons","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sioen, Aquiles","Buenos Aires en el año 2080","1879","Argentina","Lichtblau","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Silva, Domingo G.","Adelberto o el mártir de una pasión","1881","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Silva, Domingo G.","Lila, o la diosa de la isla","1881","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Sánchez, Fortunato A.","El ciego Rafael","1870","Argentina","Lichtblau","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Rey.... Y se inclinaban a su paso, diciendo ¡Viva el Rey!","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","Adelisa","","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","Las Botitas de María","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Chacho y el Incógnito, o los dos Ladrones","1861","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Licenciado D. Tadeo Cristóbal","1850","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"anómimo","El Incógnito de la Cabaña","1838","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ancona, Eligio","Uno de tantos","","","InternetArchive","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Alva, Manuel","La trinitaria","1851","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Altamirano, Ignacio Manuel","Las tres flores","1867","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Bravo López, Bernabé","A muerte","1892","","Iguiniz","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrios de los Ríos, José María","El País de las Perlas","1908","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La Reconciliación","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La noche de Bodas","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Barrera Peniche, Alfonso","La Gruta de los Enamorados","1902","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Balbontín, Manuel","El Invierno","1873","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Chavero, Alfredo","El Conde Palákis","1882","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","Novela por vapor","1869","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","Las posadas","1871","México","ELEM TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","El hombre-mujer","1872","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","El carnaval","1851","","ELEM","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Cuéllar, José Tomás de","La noche buena","1890","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Cordero, Salvador","Memorias de un Juez de Paz","1910","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ceballos, Ciro B.","El delito","1896","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Ceballos, Ciro B.","Monografía","1898","","NovelaCorta","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Ceballos, Ciro B.","Un adulterio","1903","México","TorresRioseco","-","-","fictional","narrative","prose","n.a.","no","own structure","adult","realistic",""
"Castro, Juan S.","Fray Antonio de la Concepción","1888","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","La muerte de una copa","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","La carpeta verde","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
"Castillo, Rafael del","Los que lloran","1886","México","TorresRioseco","-","-","fictional","narrative","prose","no","n.a.","own structure","adult","realistic",""
